"","species","1","2","3","4","5","6","7","8","9","10","Code"
"3","Anchovies",0.03,0.34,0.12,0.11,0.1,0.09,0.07,0.07,0.06,0.02,"ANC"
"4","Atlantic bluefin tuna",90.98,10994.1,44203.31,74006.65,93824.28,107486.18,111356.27,107400.36,95584.66,84898.34,"BFT"
"12","Billfish",53.63,10497.24,44960.77,131954.56,179072.59,200499.76,198825.23,177335.91,142488.6,110625.21,"BIL"
"15","Bluefish",0.36,7.82,9.93,16.57,19.4,22.92,24.78,26.43,27.66,28.18,"BLF"
"14","Blue shark",1.02,2215.92,6928.78,9939.42,9803.5,9404.97,8812.52,8355.54,8152.46,7970.39,"BLS"
"30","Other benthopelagic fish",0.25,2.21,0.29,1.48,2.32,1.64,1.3,1.15,1.05,0.92,"BPF"
"13","Black sea bass",0.09,3.69,7.94,10.56,11.54,11.82,11.42,10.83,10.34,9.67,"BSB"
"16","Butterfish",0.25,4.22,0.71,1.49,2.07,1.5,1.33,1.17,1.1,1.13,"BUT"
"11","Baleen whales",762624.7,116084262.41,34259380.21,9618222.47,2677483.79,891727.6,322891.19,148692.01,86166.86,59721.86,"BWH"
"5","Atlantic cod",0.13,6.26,14.94,29.34,42.28,53.7,61.95,67.46,72.13,74.75,"COD"
"47","Spiny dogfish",0.13,17.62,39.01,76.84,82.39,80.54,74.27,64.97,59.8,55.11,"DOG"
"17","Drums and croakers",0.5,6.24,7.46,6.79,5.88,5.37,4.9,4.52,4.32,4.1,"DRM"
"31","Other demersal sharks",7.74,842.79,2074.28,1697.76,1301.22,1029.98,827.11,706.26,599.49,548.12,"DSH"
"43","Shallow demersal fish",0.57,10.37,5.84,9.58,8.1,6.49,5.79,5.13,4.56,4.12,"FDE"
"25","Miscellaneous demersal fish",0.03,1.04,1.99,3.07,4.01,4.72,5.26,5.65,5.77,5.8,"FDF"
"32","Other flatfish",0.01,0.09,0.11,0.14,0.29,0.38,0.6,0.73,0.8,0.81,"FLA"
"18","Fourspot Flounder",0.01,0.45,1.24,1.66,2.21,2.31,2.3,1.96,1.99,1.91,"FOU"
"26","Monkfish",0.06,2.36,3.93,6.25,9.87,14.44,18.22,23.13,26.52,30.54,"GOO"
"19","Haddock",0.44,8.13,10.29,9.86,9.13,8.18,7.36,6.98,6.3,5.85,"HAD"
"6","Atlantic halibut",0.13,12.93,50.79,106.07,201.17,290,374.01,455.48,533.86,598.57,"HAL"
"7","Atlantic herring",0.06,2.82,5.52,7.56,7.92,8.35,8.64,8.65,8.53,8.29,"HER"
"20","Invasive vertebrate species",0.27,4.41,4.68,4.26,3.62,3.1,2.69,2.45,2.27,2.09,"INV"
"21","Little skate",0.15,5.76,10.46,11.59,10.95,10.44,9.94,9.13,8.77,8.14,"LSK"
"22","Mackerel",0.05,1.28,2.18,4.11,5.69,6.53,7.45,7.75,7.84,8.24,"MAK"
"8","Atlantic menhaden",0.04,2.64,2.74,4.15,4.82,5.6,6.16,6.34,6.51,6.54,"MEN"
"24","Migratory mesopelagic fish ",0.01,0.03,0.03,0.03,0.04,0.03,0.04,0.07,0.08,0.09,"MPF"
"29","Offshore hake",0.26,2.74,2.86,2.47,2.07,1.77,1.52,1.37,1.28,1.16,"OHK"
"28","Ocean pout",0.03,1.25,3.96,7.09,9.88,12.42,14.29,15.83,16.97,14.76,"OPT"
"35","Pinnipeds",81022.93,3846880.83,3135442.33,2144370.02,1316148.08,862380.26,593452.64,411679.15,278092.04,204658.41,"PIN"
