"","species","1","2","3","4","5","6","7","8","9","10","Code"
"3","Anchovies",0.11,2.18,0.93,1.15,1.03,0.86,0.86,0.64,0.6,0.66,"ANC"
"4","Atlantic bluefin tuna",369.35,44631.49,179447.01,300436.15,380887.37,436349.28,452059.7,436000.58,388033.99,344651.5,"BFT"
"12","Billfish",151,29556.7,126594.23,371539.14,504207.69,564539.39,559824.37,499317.88,401199.54,311483.22,"BIL"
"15","Bluefish",3.48,78.45,98.91,165.09,194.35,229.29,248.22,263.94,276.34,281.96,"BLF"
"14","Blue shark",5.93,12833.22,40127.1,57563.02,56776.15,54467.77,51036.41,48390.26,47213.97,46159.56,"BLS"
"30","Other benthopelagic fish",2.43,22.12,2.79,14.98,23.36,16.17,13.05,11.66,10.49,9.1,"BPF"
"13","Black sea bass",0.95,37.03,79.62,105.44,115.59,117.95,113.97,108.47,103.76,97.03,"BSB"
"16","Butterfish",2.6,41.67,6.91,14.4,20.84,15.26,13.17,11.67,10.97,11.33,"BUT"
"11","Baleen whales",7271199.42,1106798650.52,326643974.88,91704383.2,25528312.24,8502121.86,3078587.65,1417695.47,821552.53,569414.67,"BWH"
"5","Atlantic cod",1.27,62.53,149.29,293.65,422.74,537.27,619.51,674.67,721.11,747.85,"COD"
"47","Spiny dogfish",1.21,176.52,389.81,769.17,823.63,805.52,743.21,649.77,597.95,551.39,"DOG"
"17","Drums and croakers",5.01,62.45,74.75,67.71,58.77,53.79,49.19,45.05,43.45,40.98,"DRM"
"31","Other demersal sharks",77.37,8427.89,20742.53,16977.81,13012.25,10299.98,8271.9,7063.11,5994.64,5481.18,"DSH"
"43","Shallow demersal fish",5.42,103.45,58.05,95.62,81.47,65.1,57.79,51.26,45.66,41.2,"FDE"
"25","Miscellaneous demersal fish",0.22,10.39,19.91,30.39,40.02,47.24,52.37,56.53,57.93,58.07,"FDF"
"32","Other flatfish",0.02,0.71,1.66,1.43,2.57,4.09,6.05,7.61,8.35,8.29,"FLA"
"18","Fourspot Flounder",0.08,4.32,12.42,16.57,21.79,23.01,23.2,19.92,19.84,19.09,"FOU"
"26","Monkfish",0.56,23.86,39.45,62.3,98.73,144.34,182.25,231.09,265.24,305.48,"GOO"
"19","Haddock",4.38,81.14,102.81,98.95,90.96,81.48,73.88,69.56,63.05,58.52,"HAD"
"6","Atlantic halibut",1.34,129.23,508.08,1060.48,2011.68,2900.01,3739.78,4555.17,5338.95,5985.94,"HAL"
"7","Atlantic herring",0.05,28.25,53.07,74.11,77.66,81.86,87.27,87.4,84.03,82.17,"HER"
"20","Invasive vertebrate species",2.75,44.24,47.05,42.59,36.08,31.08,26.85,24.49,22.82,20.86,"INV"
"21","Little skate",1.49,57.49,104.31,115.74,109.54,104.15,99.68,91.28,87.88,81.2,"LSK"
"22","Mackerel",0.49,13.46,21.61,41.05,58.27,65.69,74.25,77.29,78.94,83.3,"MAK"
