"","1","2","3","4","5","6","7","8","9","10"
"ANC",3.67,6.41,7.75,10.45,10.3,9.56,12.29,9.14,10,33
"BFT",4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06
"BIL",2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82
"BLF",9.67,10.03,9.96,9.96,10.02,10,10.02,9.99,9.99,10.01
"BLS",5.81,5.79,5.79,5.79,5.79,5.79,5.79,5.79,5.79,5.79
"BPF",9.72,10.01,9.62,10.12,10.07,9.86,10.04,10.14,9.99,9.89
"BSB",10.56,10.04,10.03,9.98,10.02,9.98,9.98,10.02,10.03,10.03
"BUT",10.4,9.87,9.73,9.66,10.07,10.17,9.9,9.97,9.97,10.03
"BWH",9.53,9.53,9.53,9.53,9.53,9.53,9.53,9.53,9.53,9.53
"COD",9.77,9.99,9.99,10.01,10,10.01,10,10,10,10
"DOG",9.31,10.02,9.99,10.01,10,10,10.01,10,10,10.01
"DRM",10.02,10.01,10.02,9.97,9.99,10.02,10.04,9.97,10.06,10
"DSH",10,10,10,10,10,10,10,10,10,10
"FDE",9.51,9.98,9.94,9.98,10.06,10.03,9.98,9.99,10.01,10
"FDF",7.33,9.99,10.01,9.9,9.98,10.01,9.96,10.01,10.04,10.01
"FLA",2,7.89,15.09,10.21,8.86,10.76,10.08,10.42,10.44,10.23
"FOU",8,9.6,10.02,9.98,9.86,9.96,10.09,10.16,9.97,9.99
"GOO",9.33,10.11,10.04,9.97,10,10,10,9.99,10,10
"HAD",9.95,9.98,9.99,10.04,9.96,9.96,10.04,9.97,10.01,10
"HAL",10.31,9.99,10,10,10,10,10,10,10,10
"HER",0.83,10.02,9.61,9.8,9.81,9.8,10.1,10.1,9.85,9.91
"INV",10.19,10.03,10.05,10,9.97,10.03,9.98,10,10.05,9.98
"LSK",9.93,9.98,9.97,9.99,10,9.98,10.03,10,10.02,9.98
"MAK",9.8,10.52,9.91,9.99,10.24,10.06,9.97,9.97,10.07,10.11
"MEN",9.5,10.18,10.48,10.36,10.07,9.91,9.94,10.13,10.09,9.99
"MPF",1,8,11,13,8,11,11,10.43,11.5,9.89
"OHK",10.27,9.98,10,9.93,10.04,10.11,10.06,10.05,10.1,10.09
"OPT",10.67,9.98,9.97,9.99,10.02,10,9.99,10.01,10.01,10.01
"PIN",13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82
"PLA",9.25,10.06,10.07,9.99,10,9.99,10.02,10.02,9.99,10.02
"POL",10.02,10,10.01,10.01,10,9.99,10,10,9.99,9.99
"POR",10.9,10.86,10.87,10.87,9.23,6.49,4.61,3.82,3.5,3.49
"PSH",3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95
"RED",Inf,9.58,9.59,10.1,10.04,9.95,10.08,10.16,10.12,9.88
"REP",11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21
"RHK",10.57,9.94,10.01,9.97,10.03,10.01,10,10,9.98,10.01
"RWH",8.13,8.13,8.13,8.13,8.13,8.13,8.13,8.13,8.13,8.13
"SAL",9.99,10,10,10,10,10.01,9.99,10,10,10
"SB",15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37
"SCU",9.33,9.86,10.05,10.09,10.01,10.01,10.01,9.98,9.95,10.03
"SDF",10.09,10.02,10,10.01,10,10,10,10,10,10
"SHK",9.6,10.27,10.29,9.91,9.95,10.16,10.09,9.93,10.06,10.07
"SK",10.05,10,10,10,10,10,10,10,9.99,10
"SMO",10.03,10.03,10,10,10,9.99,10.02,10,10.01,10
"SSH",10.06,10,10,10,10,10,10,10,10,10
"STB",9.82,10.02,10,10,9.99,10.01,10,10,10,9.99
"SUF",9.96,10.01,10.01,9.99,9.99,10.01,10.01,10,10.01,10.01
"SWH",11.83,11.83,11.83,11.83,11.83,11.83,11.83,11.83,11.83,11.83
"TAU",9,10.03,9.99,9.98,10.01,10,10.01,9.99,10,10
"TUN",1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
"TWH",11.83,11.83,11.83,11.83,11.83,11.83,11.83,11.83,11.83,11.83
"TYL",9.14,10.01,10,10,10.01,10.01,10,10,10,10
"WHK",9.38,9.83,10.05,10,10.01,9.99,10,10.01,10.01,10.01
"WIF",9.93,9.97,10.01,10,9.99,9.98,9.99,10.02,10,10
"WOL",12.5,9.72,10,10,9.99,10,10,9.99,10,9.99
"WPF",9.33,9.8,9.87,9.95,10.05,10.09,9.96,9.99,10.11,9.97
"WSK",9.8,9.99,10,10,10,10,10,10,10,10
"WTF",8,10.06,9.99,9.93,9.97,9.97,10.02,10.04,10.06,9.99
"YTF",9.5,10.49,9.83,10.19,10.05,9.96,9.8,10.09,9.96,9.94
